uf;cod_munic;nome_do_municipio;pop
RO;00015;Alta Floresta D'Oeste; 21 495
RO;00023;Ariquemes; 96 833
RO;00031;Cabixi; 5 363
RO;00049;Cacoal; 86 895
RO;00056;Cerejeiras; 15 890
RO;00064;Colorado do Oeste; 15 663
RO;00072;Corumbiara; 7 519
RO;00080;Costa Marques; 12 627
RO;00098;Espigão D'Oeste; 29 397
RO;00106;Guajará-Mirim; 39 386
RO;00114;Jaru; 50 591
RO;00122;Ji-Paraná; 124 333
RO;00130;Machadinho D'Oeste; 30 707
RO;00148;Nova Brasilândia D'Oeste; 15 679
RO;00155;Ouro Preto do Oeste; 35 044
RO;00189;Pimenta Bueno; 34 998
RO;00205;Porto Velho; 460 413
RO;00254;Presidente Médici; 19 327
RO;00262;Rio Crespo; 3 471
RO;00288;Rolim de Moura; 56 406
RO;00296;Santa Luzia D'Oeste; 7 419
RO;00304;Vilhena; 95 832
RO;00320;São Miguel do Guaporé; 21 635
RO;00338;Nova Mamoré; 25 444
RO;00346;Alvorada D'Oeste; 13 117
RO;00379;Alto Alegre dos Parecis; 11 479
RO;00403;Alto Paraíso; 16 320
RO;00452;Buritis; 27 992
RO;00502;Novo Horizonte do Oeste; 7 667
RO;00601;Cacaulândia; 4 150
RO;00700;Campo Novo de Rondônia; 8 844
RO;00809;Candeias do Jamari; 22 238
RO;00908;Castanheiras; 3 233
RO;00924;Chupinguaia; 9 324
RO;00940;Cujubim; 14 863
RO;01005;Governador Jorge Teixeira; 8 001
RO;01104;Itapuã do Oeste; 8 541
RO;01203;Ministro Andreazza; 6 466
RO;01302;Mirante da Serra; 9 235
RO;01401;Monte Negro; 11 548
RO;01435;Nova União; 6 200
RO;01450;Parecis; 4 125
RO;01468;Pimenteiras do Oeste; 2 156
RO;01476;Primavera de Rondônia; 3 074
RO;01484;São Felipe D'Oeste; 5 258
RO;01492;São Francisco do Guaporé; 16 286
RO;01500;Seringueiras; 11 171
RO;01559;Teixeirópolis; 4 256
RO;01609;Theobroma; 8 113
RO;01708;Urupá; 10 725
RO;01757;Vale do Anari; 7 788
RO;01807;Vale do Paraíso; 6 479
AC;00013;Acrelândia; 14 021
AC;00054;Assis Brasil; 8 100
AC;00104;Brasiléia; 26 000
AC;00138;Bujari; 12 917
AC;00179;Capixaba; 10 392
AC;00203;Cruzeiro do Sul; 91 888
AC;00252;Epitaciolândia; 18 757
AC;00302;Feijó; 35 426
AC;00328;Jordão; 9 222
AC;00336;Mâncio Lima; 19 300
AC;00344;Manoel Urbano; 11 996
AC;00351;Marechal Thaumaturgo; 17 093
AC;00385;Plácido de Castro; 16 560
AC;00393;Porto Walter; 10 735
AC;00401;Rio Branco; 364 756
AC;00427;Rodrigues Alves; 14 938
AC;00435;Santa Rosa do Purus; 6 723
AC;00450;Senador Guiomard; 21 453
AC;00500;Sena Madureira; 41 349
AC;00609;Tarauacá; 43 464
AC;00708;Xapuri; 18 243
AC;00807;Porto Acre; 16 693
AM;00029;Alvarães; 15 866
AM;00060;Amaturá; 10 819
AM;00086;Anamã; 9 962
AM;00102;Anori; 17 194
AM;00144;Apuí; 20 647
AM;00201;Atalaia do Norte; 15 314
AM;00300;Autazes; 41 582
AM;00409;Barcelos; 18 831
AM;00508;Barreirinha; 31 065
AM;00607;Benjamin Constant; 37 648
AM;00631;Beruri; 20 718
AM;00680;Boa Vista do Ramos; 23 785
AM;00706;Boca do Acre; 35 447
AM;00805;Borba; 33 056
AM;00839;Caapiranga; 13 473
AM;00904;Canutama; 16 869
AM;01001;Carauari; 28 742
AM;01100;Careiro; 30 792
AM;01159;Careiro da Várzea; 19 638
AM;01209;Coari; 70 496
AM;01308;Codajás; 23 549
AM;01407;Eirunepé; 33 170
AM;01506;Envira; 17 186
AM;01605;Fonte Boa; 25 871
AM;01654;Guajará; 13 815
AM;01704;Humaitá; 57 473
AM;01803;Ipixuna; 24 311
AM;01852;Iranduba; 60 993
AM;01902;Itacoatiara; 103 598
AM;01951;Itamarati; 10 937
AM;02009;Itapiranga; 10 162
AM;02108;Japurá; 8 858
AM;02207;Juruá; 10 742
AM;02306;Jutaí; 25 172
AM;02405;Lábrea; 45 448
AM;02504;Manacapuru; 101 883
AM;02553;Manaquiri; 17 107
AM;02603;Manaus;2 063 547
AM;02702;Manicoré; 53 914
AM;02801;Maraã; 15 520
AM;02900;Maués; 61 204
AM;03007;Nhamundá; 20 135
AM;03106;Nova Olinda do Norte; 27 062
AM;03205;Novo Airão; 15 761
AM;03304;Novo Aripuanã; 23 817
AM;03403;Parintins; 96 372
AM;03502;Pauini; 19 373
AM;03536;Presidente Figueiredo; 30 668
AM;03569;Rio Preto da Eva; 24 936
AM;03601;Santa Isabel do Rio Negro; 14 164
AM;03700;Santo Antônio do Içá; 28 211
AM;03809;São Gabriel da Cachoeira; 51 795
AM;03908;São Paulo de Olivença; 32 967
AM;03957;São Sebastião do Uatumã; 11 670
AM;04005;Silves; 11 559
AM;04062;Tabatinga; 66 764
AM;04104;Tapauá; 19 599
AM;04203;Tefé; 73 669
AM;04237;Tonantins; 19 247
AM;04260;Uarini; 14 431
AM;04302;Urucará; 18 626
AM;04401;Urucurituba; 23 945
RR;00027;Amajari; 13 927
RR;00050;Alto Alegre; 21 066
RR;00100;Boa Vista; 413 486
RR;00159;Bonfim; 13 897
RR;00175;Cantá; 18 682
RR;00209;Caracaraí; 20 957
RR;00233;Caroebe; 10 656
RR;00282;Iracema; 10 023
RR;00308;Mucajaí; 18 064
RR;00407;Normandia; 13 669
RR;00456;Pacaraima; 19 305
RR;00472;Rorainópolis; 32 647
RR;00506;São João da Baliza; 8 858
RR;00605;São Luiz; 7 315
RR;00704;Uiramutã; 13 751
PA;00107;Abaetetuba; 158 188
PA;00131;Abel Figueiredo; 7 030
PA;00206;Acará; 57 385
PA;00305;Afuá; 37 765
PA;00347;Água Azul do Norte; 18 080
PA;00404;Alenquer; 69 377
PA;00503;Almeirim; 34 280
PA;00602;Altamira; 126 279
PA;00701;Anajás; 28 011
PA;00800;Ananindeua; 478 778
PA;00859;Anapu; 31 850
PA;00909;Augusto Corrêa; 44 573
PA;00958;Aurora do Pará; 23 632
PA;01006;Aveiro; 18 290
PA;01105;Bagre; 34 711
PA;01204;Baião; 51 641
PA;01253;Bannach; 4 031
PA;01303;Barcarena; 126 650
PA;01402;Belém;1 303 389
PA;01451;Belterra; 18 099
PA;01501;Benevides; 63 567
PA;01576;Bom Jesus do Tocantins; 18 005
PA;01600;Bonito; 12 622
PA;01709;Bragança; 123 082
PA;01725;Brasil Novo; 24 718
PA;01758;Brejo Grande do Araguaia; 6 783
PA;01782;Breu Branco; 45 712
PA;01808;Breves; 106 968
PA;01907;Bujaru; 24 383
PA;01956;Cachoeira do Piriá; 19 630
PA;02004;Cachoeira do Arari; 23 981
PA;02103;Cametá; 134 184
PA;02152;Canaã dos Carajás; 77 079
PA;02202;Capanema; 70 394
PA;02301;Capitão Poço; 56 332
PA;02400;Castanhal; 192 262
PA;02509;Chaves; 20 757
PA;02608;Colares; 12 868
PA;02707;Conceição do Araguaia; 44 617
PA;02756;Concórdia do Pará; 26 881
PA;02764;Cumaru do Norte; 14 036
PA;02772;Curionópolis; 19 950
PA;02806;Curralinho; 33 903
PA;02855;Curuá; 14 117
PA;02905;Curuçá; 40 342
PA;02939;Dom Eliseu; 58 484
PA;02954;Eldorado do Carajás; 28 192
PA;03002;Faro; 8 728
PA;03044;Floresta do Araguaia; 17 898
PA;03077;Garrafão do Norte; 24 703
PA;03093;Goianésia do Pará; 26 280
PA;03101;Gurupá; 31 788
PA;03200;Igarapé-Açu; 35 797
PA;03309;Igarapé-Miri; 64 831
PA;03408;Inhangapi; 10 325
PA;03457;Ipixuna do Pará; 30 329
PA;03507;Irituia; 30 955
PA;03606;Itaituba; 123 312
PA;03705;Itupiranga; 49 752
PA;03754;Jacareacanga; 24 042
PA;03804;Jacundá; 37 707
PA;03903;Juruti; 50 881
PA;04000;Limoeiro do Ajuru; 29 569
PA;04059;Mãe do Rio; 34 353
PA;04109;Magalhães Barata; 8 115
PA;04208;Marabá; 266 536
PA;04307;Maracanã; 25 812
PA;04406;Marapanim; 26 471
PA;04422;Marituba; 110 515
PA;04455;Medicilândia; 27 077
PA;04505;Melgaço; 27 876
PA;04604;Mocajuba; 27 198
PA;04703;Moju; 83 039
PA;04752;Mojuí dos Campos; 23 501
PA;04802;Monte Alegre; 60 016
PA;04901;Muaná; 45 368
PA;04950;Nova Esperança do Piriá; 20 478
PA;04976;Nova Ipixuna; 13 955
PA;05007;Nova Timboteua; 12 806
PA;05031;Novo Progresso; 33 638
PA;05064;Novo Repartimento; 60 732
PA;05106;Óbidos; 52 229
PA;05205;Oeiras do Pará; 33 844
PA;05304;Oriximiná; 68 294
PA;05403;Ourém; 17 855
PA;05437;Ourilândia do Norte; 32 467
PA;05486;Pacajá; 41 097
PA;05494;Palestina do Pará; 6 885
PA;05502;Paragominas; 105 538
PA;05536;Parauapebas; 266 424
PA;05551;Pau D'Arco; 6 931
PA;05601;Peixe-Boi; 8 285
PA;05635;Piçarra; 12 832
PA;05650;Placas; 18 668
PA;05700;Ponta de Pedras; 24 984
PA;05809;Portel; 62 445
PA;05908;Porto de Moz; 40 597
PA;06005;Prainha; 35 577
PA;06104;Primavera; 10 677
PA;06112;Quatipuru; 11 524
PA;06138;Redenção; 85 597
PA;06161;Rio Maria; 18 384
PA;06187;Rondon do Pará; 53 143
PA;06195;Rurópolis; 35 769
PA;06203;Salinópolis; 44 772
PA;06302;Salvaterra; 24 129
PA;06351;Santa Bárbara do Pará; 21 089
PA;06401;Santa Cruz do Arari; 7 445
PA;06500;Santa Izabel do Pará; 73 019
PA;06559;Santa Luzia do Pará; 20 370
PA;06583;Santa Maria das Barreiras; 16 548
PA;06609;Santa Maria do Pará; 24 624
PA;06708;Santana do Araguaia; 32 413
PA;06807;Santarém; 331 937
PA;06906;Santarém Novo; 6 116
PA;07003;Santo Antônio do Tauá; 27 461
PA;07102;São Caetano de Odivelas; 16 666
PA;07151;São Domingos do Araguaia; 21 092
PA;07201;São Domingos do Capim; 30 599
PA;07300;São Félix do Xingu; 65 418
PA;07409;São Francisco do Pará; 14 894
PA;07458;São Geraldo do Araguaia; 24 255
PA;07466;São João da Ponta; 4 430
PA;07474;São João de Pirabas; 20 689
PA;07508;São João do Araguaia; 13 465
PA;07607;São Miguel do Guamá; 52 895
PA;07706;São Sebastião da Boa Vista; 25 643
PA;07755;Sapucaia; 5 847
PA;07805;Senador José Porfírio; 22 576
PA;07904;Soure; 24 204
PA;07953;Tailândia; 72 493
PA;07961;Terra Alta; 10 400
PA;07979;Terra Santa; 18 782
PA;08001;Tomé-Açu; 67 305
PA;08035;Tracuateua; 28 595
PA;08050;Trairão; 15 242
PA;08084;Tucumã; 39 550
PA;08100;Tucuruí; 91 306
PA;08126;Ulianópolis; 37 972
PA;08159;Uruará; 43 558
PA;08209;Vigia; 50 832
PA;08308;Viseu; 58 692
PA;08357;Vitória do Xingu; 15 599
PA;08407;Xinguara; 52 893
AP;00055;Serra do Navio; 4 673
AP;00105;Amapá; 7 943
AP;00154;Pedra Branca do Amapari; 12 847
AP;00204;Calçoene; 10 612
AP;00212;Cutias; 4 461
AP;00238;Ferreira Gomes; 6 666
AP;00253;Itaubal; 5 599
AP;00279;Laranjal do Jari; 35 114
AP;00303;Macapá; 442 933
AP;00402;Mazagão; 21 918
AP;00501;Oiapoque; 27 482
AP;00535;Porto Grande; 17 848
AP;00550;Pracuúba; 3 803
AP;00600;Santana; 107 373
AP;00709;Tartarugalzinho; 12 945
AP;00808;Vitória do Jari; 11 291
TO;00251;Abreulândia; 2 576
TO;00301;Aguiarnópolis; 4 497
TO;00350;Aliança do Tocantins; 5 147
TO;00400;Almas; 6 499
TO;00707;Alvorada; 8 802
TO;01002;Ananás; 10 325
TO;01051;Angico; 2 876
TO;01101;Aparecida do Rio Negro; 4 856
TO;01309;Aragominas; 5 290
TO;01903;Araguacema; 5 927
TO;02000;Araguaçu; 8 133
TO;02109;Araguaína; 171 301
TO;02158;Araguanã; 4 310
TO;02208;Araguatins; 31 918
TO;02307;Arapoema; 5 550
TO;02406;Arraias; 10 287
TO;02554;Augustinópolis; 17 484
TO;02703;Aurora do Tocantins; 3 342
TO;02901;Axixá do Tocantins; 10 262
TO;03008;Babaçulândia; 7 880
TO;03057;Bandeirantes do Tocantins; 3 407
TO;03073;Barra do Ouro; 4 476
TO;03107;Barrolândia; 4 846
TO;03206;Bernardo Sayão; 4 229
TO;03305;Bom Jesus do Tocantins; 4 033
TO;03602;Brasilândia do Tocantins; 1 974
TO;03701;Brejinho de Nazaré; 4 725
TO;03800;Buriti do Tocantins; 10 307
TO;03826;Cachoeirinha; 1 961
TO;03842;Campos Lindos; 8 653
TO;03867;Cariri do Tocantins; 4 007
TO;03883;Carmolândia; 2 201
TO;03891;Carrasco Bonito; 3 318
TO;03909;Caseara; 4 847
TO;04105;Centenário; 2 131
TO;04600;Chapada de Areia; 1 501
TO;05102;Chapada da Natividade; 3 117
TO;05508;Colinas do Tocantins; 34 233
TO;05557;Combinado; 4 756
TO;05607;Conceição do Tocantins; 3 887
TO;06001;Couto Magalhães; 5 331
TO;06100;Cristalândia; 6 371
TO;06258;Crixás do Tocantins; 1 470
TO;06506;Darcinópolis; 5 827
TO;07009;Dianópolis; 17 739
TO;07108;Divinópolis do Tocantins; 7 024
TO;07207;Dois Irmãos do Tocantins; 6 327
TO;07306;Dueré; 4 248
TO;07405;Esperantina; 7 530
TO;07553;Fátima; 3 467
TO;07652;Figueirópolis; 5 211
TO;07702;Filadélfia; 7 712
TO;08205;Formoso do Araguaia; 18 881
TO;08254;Tabocão; 3 455
TO;08304;Goianorte; 4 738
TO;09005;Goiatins; 12 433
TO;09302;Guaraí; 24 775
TO;09500;Gurupi; 85 126
TO;09807;Ipueiras; 1 590
TO;10508;Itacajá; 6 819
TO;10706;Itaguatins; 5 172
TO;10904;Itapiratins; 3 577
TO;11100;Itaporã do Tocantins; 2 404
TO;11506;Jaú do Tocantins; 3 334
TO;11803;Juarina; 2 243
TO;11902;Lagoa da Confusão; 15 288
TO;11951;Lagoa do Tocantins; 3 516
TO;12009;Lajeado; 3 357
TO;12157;Lavandeira; 1 626
TO;12405;Lizarda; 2 999
TO;12454;Luzinópolis; 2 717
TO;12504;Marianópolis do Tocantins; 4 615
TO;12702;Mateiros; 2 748
TO;12801;Maurilândia do Tocantins; 3 095
TO;13205;Miracema do Tocantins; 18 566
TO;13304;Miranorte; 12 701
TO;13601;Monte do Carmo; 5 694
TO;13700;Monte Santo do Tocantins; 2 396
TO;13809;Palmeiras do Tocantins; 4 872
TO;13957;Muricilândia; 3 367
TO;14203;Natividade; 8 754
TO;14302;Nazaré; 4 521
TO;14880;Nova Olinda; 10 367
TO;15002;Nova Rosalândia; 3 362
TO;15101;Novo Acordo; 3 969
TO;15150;Novo Alegre; 1 846
TO;15259;Novo Jardim; 2 230
TO;15507;Oliveira de Fátima; 1 164
TO;15705;Palmeirante; 4 798
TO;15754;Palmeirópolis; 6 975
TO;16109;Paraíso do Tocantins; 52 360
TO;16208;Paranã; 10 542
TO;16307;Pau D'Arco; 4 043
TO;16505;Pedro Afonso; 14 055
TO;16604;Peixe; 9 317
TO;16653;Pequizeiro; 4 921
TO;16703;Colméia; 8 941
TO;17008;Pindorama do Tocantins; 4 478
TO;17206;Piraquê; 2 282
TO;17503;Pium; 7 128
TO;17800;Ponte Alta do Bom Jesus; 4 220
TO;17909;Ponte Alta do Tocantins; 7 586
TO;18006;Porto Alegre do Tocantins; 2 866
TO;18204;Porto Nacional; 64 418
TO;18303;Praia Norte; 9 044
TO;18402;Presidente Kennedy; 3 047
TO;18451;Pugmil; 2 193
TO;18501;Recursolândia; 3 421
TO;18550;Riachinho; 3 960
TO;18659;Rio da Conceição; 1 768
TO;18709;Rio dos Bois; 2 738
TO;18758;Rio Sono; 4 841
TO;18808;Sampaio; 4 215
TO;18840;Sandolândia; 3 723
TO;18865;Santa Fé do Araguaia; 7 216
TO;18881;Santa Maria do Tocantins; 2 680
TO;18899;Santa Rita do Tocantins; 2 219
TO;18907;Santa Rosa do Tocantins; 4 656
TO;19004;Santa Tereza do Tocantins; 2 781
TO;20002;Santa Terezinha do Tocantins; 2 406
TO;20101;São Bento do Tocantins; 5 654
TO;20150;São Félix do Tocantins; 1 783
TO;20200;São Miguel do Tocantins; 13 241
TO;20259;São Salvador do Tocantins; 2 385
TO;20309;São Sebastião do Tocantins; 4 100
TO;20499;São Valério; 4 422
TO;20655;Silvanópolis; 5 108
TO;20804;Sítio Novo do Tocantins; 10 830
TO;20853;Sucupira; 1 577
TO;20903;Taguatinga; 14 011
TO;20937;Taipas do Tocantins; 2 021
TO;20978;Talismã; 2 456
TO;21000;Palmas; 302 692
TO;21109;Tocantínia; 7 459
TO;21208;Tocantinópolis; 22 615
TO;21257;Tupirama; 1 909
TO;21307;Tupiratins; 1 874
TO;22081;Wanderlândia; 10 522
TO;22107;Xambioá; 10 517
MA;00055;Açailândia; 106 550
MA;00105;Afonso Cunha; 6 144
MA;00154;Água Doce do Maranhão; 12 142
MA;00204;Alcântara; 18 466
MA;00303;Aldeias Altas; 23 286
MA;00402;Altamira do Maranhão; 6 447
MA;00436;Alto Alegre do Maranhão; 24 048
MA;00477;Alto Alegre do Pindaré; 25 710
MA;00501;Alto Parnaíba; 11 109
MA;00550;Amapá do Maranhão; 7 170
MA;00600;Amarante do Maranhão; 37 091
MA;00709;Anajatuba; 25 322
MA;00808;Anapurus; 13 793
MA;00832;Apicum-Açu; 17 519
MA;00873;Araguanã; 11 182
MA;00907;Araioses; 39 052
MA;00956;Arame; 25 520
MA;01004;Arari; 29 472
MA;01103;Axixá; 11 790
MA;01202;Bacabal; 103 711
MA;01251;Bacabeira; 16 966
MA;01301;Bacuri; 16 290
MA;01350;Bacurituba; 5 255
MA;01400;Balsas; 101 616
MA;01509;Barão de Grajaú; 18 984
MA;01608;Barra do Corda; 84 532
MA;01707;Barreirinhas; 65 583
MA;01731;Belágua; 8 460
MA;01772;Bela Vista do Maranhão; 11 750
MA;01806;Benedito Leite; 5 469
MA;01905;Bequimão; 19 580
MA;01939;Bernardo do Mearim; 5 840
MA;01970;Boa Vista do Gurupi; 7 574
MA;02002;Bom Jardim; 33 145
MA;02036;Bom Jesus das Selvas; 28 599
MA;02077;Bom Lugar; 12 212
MA;02101;Brejo; 34 120
MA;02150;Brejo de Areia; 9 218
MA;02200;Buriti; 29 685
MA;02309;Buriti Bravo; 22 455
MA;02325;Buriticupu; 55 507
MA;02358;Buritirana; 12 918
MA;02374;Cachoeira Grande; 9 732
MA;02408;Cajapió; 10 121
MA;02507;Cajari; 16 412
MA;02556;Campestre do Maranhão; 12 301
MA;02606;Cândido Mendes; 19 932
MA;02705;Cantanhede; 24 303
MA;02754;Capinzal do Norte; 11 374
MA;02804;Carolina; 24 062
MA;02903;Carutapera; 24 238
MA;03000;Caxias; 156 970
MA;03109;Cedral; 10 208
MA;03125;Central do Maranhão; 7 094
MA;03158;Centro do Guilherme; 12 342
MA;03174;Centro Novo do Maranhão; 16 267
MA;03208;Chapadinha; 81 386
MA;03257;Cidelândia; 12 878
MA;03307;Codó; 114 269
MA;03406;Coelho Neto; 41 658
MA;03505;Colinas; 40 306
MA;03554;Conceição do Lago-Açu; 14 915
MA;03604;Coroatá; 59 566
MA;03703;Cururupu; 31 558
MA;03752;Davinópolis; 14 404
MA;03802;Dom Pedro; 23 053
MA;03901;Duque Bacelar; 10 223
